Catalog#,Artist,Title,Format,Release Date,Cover JPG,Spotify,Apple Music,Youtube
RAIN-001,shinrei,the angels within: reawakened,Digital,2024-12-25,assets/album-art/rain-001.jpg,https://open.spotify.com/album/2penXWmPLazpxL8lhJV1At,https://music.apple.com/us/album/the-angel-within-reawakened/1829089347,https://www.youtube.com/playlist?list=OLAK5uy_mDzSb4s0ePQlN89yCC2ZcNqS7bZTAk4mw
RAIN-002,smooch.,"random,",Digital,2024-12-31,assets/album-art/rain-002.jpg,https://open.spotify.com/album/0ZmzcHNvkaBzGJfiCNiEK6,https://music.apple.com/us/album/random/1821669017,https://www.youtube.com/watch?v=povZ9zKDcyw&list=OLAK5uy_mZbQbiFXevEYrXO54PF-MS3eRl-zgbwxg
RAIN-003S,shinrei,Mmmeeeelttiiinnggggg,Digital,2025-03-26,assets/album-art/rain-003.jpg,https://open.spotify.com/album/1ds2EQIju72dIscee8JPK0,https://music.apple.com/us/album/mmmeeeelttiiinnggggg-single/1828936698,https://www.youtube.com/watch?v=SCZOLeZNDN0&list=OLAK5uy_neoMwuqL0JObo3nG8KOQDT4UzvFWC8gWg
RAIN-004S,V0CALYST,territory,Digital,2025-03-28,assets/album-art/rain-004.jpg,https://open.spotify.com/album/2HGW5MHTTJEj3syM2enUeg,https://music.apple.com/us/album/territory-single/1828346387,https://www.youtube.com/watch?v=joLewQvuYS4&list=OLAK5uy_m9irsOfXTsagdy31sV-Ts8-4pBNO88-xQ
RAIN-005S,shinrei,楽園 ?,Digital,2025-04-26,assets/album-art/rain-005.jpg,https://open.spotify.com/album/3dv1uRZ7WuQQEuYXUO742D,https://music.apple.com/us/album/%E6%A5%BD%E5%9C%92-single/1829076099,https://www.youtube.com/watch?v=L0X9pseqW0c&list=OLAK5uy_l37PPj1sv6sXzzMpblM_nKJrKXkkseyXU
RAIN-006S,V0CALYST,CRYIN,Digital,2025-05-20,assets/album-art/rain-006.jpg,https://open.spotify.com/album/7msl9kDqXGsNi8DOfVW2qJ,https://music.apple.com/us/album/cryin-single/1827808967,https://www.youtube.com/watch?v=fTgxxBqbagc&list=OLAK5uy_n-n7yAxgboGDG98mQ_D-MQ816ESipa6x4
RAIN-007,smooch.,EX tracks,Digital,2025-05-20,assets/album-art/rain-007.jpg,https://open.spotify.com/album/2hQe7ro0tSJEuq0SfYgxs3,https://music.apple.com/us/album/ex-tracks-single/1822134127,https://www.youtube.com/watch?v=sgmAr3tuZV4&list=OLAK5uy_nhkKIbG18yZ67nPSf-p4sQCX5da0rT_m4
RAIN-008,smooch.,"A witness, A watcher",Digital,2025-05-23,assets/album-art/rain-008.jpg,https://open.spotify.com/album/5ZH8SpyVKzcW8jwyn3G8Au,https://music.apple.com/us/album/a-witness-a-watcher-ep/1815871350,https://www.youtube.com/watch?v=Jipf3cxKb_8&list=OLAK5uy_lJOyA1XtRrmnVLMnJRzdgV0lvgJkVxAUc
RAIN-009S,shinrei,Soul on fire,Digital,2025-06-01,assets/album-art/rain-009.jpg,https://open.spotify.com/album/0Es2E7R5m38C5BQp40OHQj,https://music.apple.com/us/album/soul-on-fire-single/1828852207,https://www.youtube.com/watch?v=m1iG7-kYh6E&list=OLAK5uy_mx_qU2NrW1ptPeA2Ah0PfAGBm8ycSO_Pc
RAIN-010S,V0CALYST,interesting,Digital,2025-07-25,assets/album-art/rain-010.jpg,https://open.spotify.com/album/7uLmT3JP9VnpPyir9TGbxN,https://music.apple.com/us/album/interesting-single/1828359910,https://www.youtube.com/watch?v=B30YZOn8Uwg&list=OLAK5uy_ncL_yu7w_9MnBBJ6VBxFJO4HJ59rZnoLw&pp=0gcJCWUEOCosWNin
RAIN-011S,V0CALYST,believe the kids,Digital,2025-08-01,assets/album-art/rain-011.jpg,https://open.spotify.com/album/13eMY6ys7wpOFVpdlfGa2l,https://music.apple.com/us/album/believe-the-kids-single/1829234378,https://www.youtube.com/watch?v=3lXxh1-EcNE&list=OLAK5uy_krjN1m5C5EMnlboKj-viw6HXMIcGPAMpU&pp=0gcJCWUEOCosWNin
